Location,Level,Job Type,Contract Type,Experience,Tech Stacks,Salary,Time
 Thành phố Hà Nội,Leader,In Office,Fulltime,3 years,"PHP, Java, .NET",30.000.000 VND to 60.000.000 VND,4 days ago
 Thành phố Hà Nội,Senior,In Office,Fulltime,4 years,"Oracle, SQL, Python, Data Engineer, Kafka",1.000 USD to 2.000 USD,4 days ago
 Thành phố Hà Nội,"Leader, Senior",In Office,Fulltime,3 years,"Java, SQL, Java Core",Negotiable,4 days ago
 Thành phố Hà Nội,Senior,In Office,Fulltime,3 years,"Tester, Database, Automation Tester, Manual Test, Mobile Tester",Up to 2.000 USD,4 days ago
 Thành phố Hồ Chí Minh,"Junior, Middle, Senior",In Office,"Fulltime, Part-time",1 year,MS Office,Negotiable,4 days ago
 Thành phố Hà Nội,Leader,In Office,Fulltime,4 years,Business Analyst,30.000.000 VND to 60.000.000 VND,4 days ago
 Thành phố Hà Nội,"Junior, Senior",In Office,Fulltime,3 years,"Java, Python, AWS, Business Intelligence, Solution Architect",2.500 USD to 3.500 USD,4 days ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,2 years,"Oracle, MySQL, Data Analytics, API, Business Analyst",1.000 USD to 1.500 USD,4 days ago
 Thành phố Hà Nội,"Junior, Middle, Senior",In Office,Fulltime,1 year,"NodeJS, Full-Stack, ReactJS",Negotiable,4 days ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,2 years,"C++, Java, Python",Negotiable,4 days ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,2 years,"Java, Python, NLP",Negotiable,4 days ago
 Thành phố Hồ Chí Minh,Senior,In Office,Fulltime,6 years,"Python, Data Engineer, PostgreSql",Negotiable,4 days ago
 Thành phố Hồ Chí Minh,"Middle, Senior",In Office,Fulltime,2 years,"Java, MySQL, Java Spring Boot",,4 days ago
 Thành phố Hà Nội,Senior,In Office,Fulltime,5 years,"Product Owner, Business Analyst",Negotiable,4 days ago
 Thành phố Hồ Chí Minh,"Junior, Middle",In Office,Fulltime,2 years,"Python, ERP, Odoo",Negotiable,4 days ago
 Thành phố Hồ Chí Minh,"Middle, Senior",In Office,Fulltime,2 years,"C#, .NET, PostgreSql",Negotiable,4 days ago
 Thành phố Hồ Chí Minh,"Middle, Senior",In Office,Fulltime,2 years,".NET, HTML & CSS, Angular",Negotiable,4 days ago
 Thành phố Hà Nội,Senior,In Office,Fulltime,5 years,"ASP.NET, C#, .NET",Negotiable,4 days ago
 Thành phố Hà Nội,Senior,In Office,Fulltime,5 years,"Java, Python, Solution Architect",Negotiable,4 days ago
 Thành phố Hà Nội,Senior,In Office,Fulltime,4 years,"Java, Spring, VueJS",Negotiable,4 days ago
 Thành phố Hà Nội,Senior,In Office,Fulltime,4 years,"MySQL, Data Analytics, Business Analyst",Up to 40.000.000 VND,5 days ago
 Thành phố Hồ Chí Minh,Senior,Hybrid,Fulltime,5 years,"Java, Game, AWS",1.500 USD to 1.800 USD,5 days ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,2 years,"Swift, iOS, Objective-C",Up to 35.000.000 VND,5 days ago
 Thành phố Hồ Chí Minh,"Junior, Middle",Hybrid,Fulltime,2 years,"QA, Manual Test, Test",Negotiable,5 days ago
 Thành phố Hồ Chí Minh,"Junior, Middle, Senior",In Office,Fulltime,2 years,"Python, MongoDB, .NET Core",Negotiable,5 days ago
 Thành phố Hà Nội,Senior,Hybrid,Fulltime,3 years,"Tester, Automation Tester, Automation QA",15.000.000 VND to 40.000.000 VND,5 days ago
 Thành phố Hồ Chí Minh,"Middle, Senior",In Office,"Fulltime, Part-time",3 years,"Java, Spring, Angular",Negotiable,5 days ago
 Thành phố Hồ Chí Minh,"Junior, Middle, Senior",In Office,Fulltime,1 year,"Unity, ReactJS, Game Developer",Negotiable,5 days ago
 Thành phố Hồ Chí Minh,"Junior, Middle, Senior",In Office,Fulltime,1 year,"NodeJS, Back-End, Game Developer",Negotiable,5 days ago
 Thành phố Hà Nội,"Junior, Middle",In Office,Fulltime,2 years,"System Admin, Network",Negotiable,5 days ago
 Thành phố Hồ Chí Minh,"Leader, Senior",In Office,Fulltime,5 years,"Python, AWS, Terraform",Negotiable,5 days ago
 Thành phố Hồ Chí Minh,"Junior, Middle",In Office,Fulltime,1 year,"UX/UI Design, UI/UX, Designer",Negotiable,5 days ago
 Thành phố Hà Nội,"Junior, Middle",In Office,Fulltime,1 year,"Project Manager, PMO",Negotiable,6 days ago
 Thành phố Hồ Chí Minh,"Junior, Middle",Remote,Fulltime,2 years,"NodeJS, VueJS, .NET Core",20.000.000 VND to 35.000.000 VND,6 days ago
 Thành phố Hồ Chí Minh,"Junior, Middle",Hybrid,Fulltime,1 year,"C#, Game, Unity3d",8.000.000 VND to 30.000.000 VND,6 days ago
 Thành phố Hà Nội,"Junior, Middle, Senior",In Office,Fulltime,1 year,"Python, DevOps, Docker, CI/CD, bash",Negotiable,6 days ago
 Thành phố Hồ Chí Minh,"Middle, Senior",In Office,Fulltime,3 years,"OOP, C++, C/C++",Negotiable,6 days ago
 Thành phố Hồ Chí Minh,"Manager, Leader, Senior",In Office,Fulltime,4 years,"Python, DevOps, Bitbucket/ Bamboo/ Jenkins, CI/CD",Negotiable,6 days ago
 Thành phố Hồ Chí Minh,Manager,Hybrid,Fulltime,10 years,"Manager, Project Manager, Japanese - N2, Japanese - N1, Process Quality Assurance",Negotiable,6 days ago
 Thành phố Hồ Chí Minh,Leader,Hybrid,Fulltime,5 years,"ReactJS, Technical Leader, Angular, Technical Architect, Flutter",Negotiable,6 days ago
 Thành phố Hồ Chí Minh,Middle,In Office,Fulltime,3 years,"Database, Database Administrator, PostgreSql",Negotiable,6 days ago
 Thành phố Đà Nẵng,"Junior, Middle, Senior",In Office,Fulltime,1 year,"Japanese ( N1 Or N2), IT Comtor",Negotiable,6 days ago
 Thành phố Hồ Chí Minh,"Leader, Middle, Senior",Hybrid,Fulltime,3 years,"AWS, Azure, Google Cloud Platform - Rollbar",Negotiable,6 days ago
 Thành phố Hồ Chí Minh,"Leader, Middle, Senior",Hybrid,Fulltime,3 years,"AWS, Azure, Google Cloud Platform - Rollbar",Negotiable,6 days ago
 Thành phố Hà Nội,"Manager, Leader, Senior",In Office,Fulltime,5 years,"Java, Software Architect, Java Spring Boot",Negotiable,6 days ago
 Tỉnh Khánh Hòa,"Middle, Senior",In Office,Fulltime,3 years,"Linux, Java, JavaScript",Up to 2.500 USD,6 days ago
 Thành phố Hà Nội,Senior,In Office,Fulltime,3 years,"AngularJS, ReactJS, VueJS",Negotiable,6 days ago
 Thành phố Hà Nội,"Middle, Senior",Hybrid,Fulltime,2 years,"PHP, Laravel, React JS",Up to 60.000.000 VND,6 days ago
 Thành phố Hồ Chí Minh,"Junior, Middle",In Office,Fulltime,2 years,"Python, NLP, Deep Learning",Negotiable,6 days ago
 Thành phố Hà Nội,"Leader, Senior",In Office,Fulltime,8 years,"Java, Technical Leader, Java Spring",Negotiable,6 days ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,4 years,".NET, MS SQL, Git",Negotiable,6 days ago
 Thành phố Hà Nội,Leader,In Office,Fulltime,2 years,"Agile, QA, Waterfall",20.000.000 VND to 40.000.000 VND,6 days ago
 Thành phố Hồ Chí Minh,"Junior, Middle, Senior",In Office,Fulltime,1 year,"Python, Golang, Back-End",Negotiable,6 days ago
 Thành phố Hồ Chí Minh,Senior,Hybrid,Fulltime,4 years,"QA, Tester, Manual Test",Negotiable,6 days ago
 Thành phố Hồ Chí Minh,"Fresher, Junior",In Office,Fulltime,Not required,"QA, Tester, Manual Test",7.000.000 VND to 10.000.000 VND,1 week ago
 Thành phố Hà Nội,"Junior, Middle, Senior",In Office,Fulltime,1 year,"UX/UI Design, Photoshop, Adobe Creative Suite",15.000.000 VND to 30.000.000 VND,1 week ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,3 years,"JavaScript, C#, .NET",Negotiable,1 week ago
 Thành phố Hồ Chí Minh,Middle,Remote,Fulltime,2 years,"Web/ Mobile, ReactJS, TypeScript",Negotiable,1 week ago
 Thành phố Hồ Chí Minh,Middle,Remote,Fulltime,2 years,"PHP, JavaScript, HTML & CSS",Negotiable,1 week ago
 Thành phố Hồ Chí Minh,Senior,Hybrid,Fulltime,5 years,"Java, Java Core, Kubernete",1.500 USD to 2.000 USD,1 week ago
 Thành phố Hà Nội,Senior,In Office,Fulltime,4 years,"Data Engineer, Spark, Data Warehouse",30.000.000 VND to 50.000.000 VND,1 week ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,3 years,"Python, Computer Science, Data Science",Negotiable,1 week ago
 Thành phố Hà Nội,"Junior, Middle, Senior",In Office,Fulltime,1 year,"Linux, DevOps, CI/CD",,1 week ago
 Thành phố Hồ Chí Minh,"Manager, Leader, Senior",In Office,Fulltime,2 years,"Project Manager, English, Agile & Scrum",Negotiable,1 week ago
 Thành phố Hồ Chí Minh,"Manager, Leader, Senior",In Office,Fulltime,2 years,"Project Manager, English, Agile & Scrum",Negotiable,1 week ago
 Thành phố Hà Nội,"Leader, Middle, Senior",In Office,Fulltime,5 years,Business Analyst,Negotiable,1 week ago
 Thành phố Hồ Chí Minh,Senior,Hybrid,Fulltime,5 years,"MongoDB, Golang, Postgre",Up to 2.000 USD,1 week ago
 Thành phố Hồ Chí Minh,Senior,Hybrid,Fulltime,5 years,"Java, Automation Tester, Automation QA",Negotiable,1 week ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,2 years,"PHP, C#, .NET",,1 week ago
 Thành phố Hồ Chí Minh,"Middle, Senior",In Office,Fulltime,4 years,"NodeJS, ReactJS, VueJS",Negotiable,1 week ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,3 years,"JavaScript, ReactJS, TypeScript",Negotiable,1 week ago
 Thành phố Đà Nẵng,"Junior, Middle",In Office,Fulltime,1 year,"Japanese - N2, BrSE, Bridge SE",Negotiable,1 week ago
 Thành phố Hà Nội,"Junior, Middle, Senior",In Office,Fulltime,1 year,"DevOps, Cloud, System Engineer, Security Engineer, Penetration Test",Negotiable,1 week ago
 Oversea,"Middle, Senior",Oversea,Fulltime,3 years,"JavaScript, Front-End, VueJS",2.500 USD to 5.000 USD,1 week ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,2 years,"Java, Spring, Struts",15.000.000 VND to 25.000.000 VND,1 week ago
 Thành phố Hồ Chí Minh,"Manager, Leader",In Office,Fulltime,5 years,"Java, Tester, Test Engineer",Negotiable,1 week ago
 Thành phố Hà Nội,"Manager, Leader",In Office,Fulltime,Above 10 years,"ASP.NET, C#, Java EE",Up to 2.500 USD,1 week ago
 Thành phố Hồ Chí Minh,Senior,In Office,Fulltime,4 years,"JavaScript, NodeJS, Back-End",Negotiable,1 week ago
 Thành phố Hồ Chí Minh,Senior,In Office,Fulltime,2 years,"Linux, Windows, IT Service",Negotiable,1 week ago
 Thành phố Đà Nẵng,Manager,In Office,Fulltime,5 years,"Agile, Java, JavaScript, C#, Scrum",Up to 50.000.000 VND,1 week ago
 Thành phố Hà Nội,"Leader, Senior",In Office,Fulltime,3 years,"Python, Cloud, System Engineer",Negotiable,1 week ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,2 years,"3D Artist, 3D Max, Animation 3D",Up to 30.000.000 VND,1 week ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,3 years,"QA, Business Analyst",Negotiable,1 week ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,3 years,"JavaScript, HTML & CSS, Salesforce",Negotiable,1 week ago
 Thành phố Hà Nội,Senior,In Office,Fulltime,5 years,"Business Analyst, IT Comtor, Korean",Negotiable,1 week ago
 Thành phố Hồ Chí Minh,"Fresher, Junior",In Office,Fulltime,06 months,"QA, Tester, English",Negotiable,1 week ago
 Thành phố Hà Nội,"Junior, Middle, Senior",Hybrid,Fulltime,1 year,"Linux, OOP, C/C++",Up to 2.200 USD,1 week ago
 Thành phố Hồ Chí Minh,Senior,In Office,Fulltime,3 years,"English, Business Analyst",Negotiable,1 week ago
 Thành phố Hà Nội,Senior,In Office,Fulltime,4 years,"Android, Java, Kotlin",Negotiable,1 week ago
 Thành phố Hồ Chí Minh,Senior,In Office,Fulltime,3 years,"Golang, Back-End",Negotiable,1 week ago
 Thành phố Hà Nội,Senior,In Office,Fulltime,5 years,"Linux, Git, C/C++, Embedded Engineer, Autosar",Negotiable,1 week ago
